2020-11-25 16:43:51,188 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/profile],methods=[GET],params=[],headers=[],consumes=[],produces=[application/json],custom=[]}" onto public com.gmail.ponomarenko.model.User com.gmail.ponomarenko.web.user.ProfileRestController.get()
2020-11-25 16:43:51,188 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/profile],methods=[DELETE],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.gmail.ponomarenko.web.user.ProfileRestController.delete()
2020-11-25 16:43:51,189 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/profile],methods=[PUT],params=[],headers=[],consumes=[application/json],produces=[],custom=[]}" onto public void com.gmail.ponomarenko.web.user.ProfileRestController.update(com.gmail.ponomarenko.model.User)
2020-11-25 16:43:51,189 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/profile/text],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.gmail.ponomarenko.web.user.ProfileRestController.testUTF()
2020-11-25 16:43:51,190 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/users],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.gmail.ponomarenko.web.user.UserController.userList(org.springframework.ui.Model)
2020-11-25 16:43:51,246 INFO  Version [Version.java:27] HV000001: Hibernate Validator 5.1.3.Final
2020-11-25 16:43:51,840 INFO  RequestMappingHandlerAdapter [RequestMappingHandlerAdapter.java:518] Looking for @ControllerAdvice: org.springframework.context.support.GenericApplicationContext@f5b42fef: startup date [Wed Nov 25 16:43:48 MSK 2020]; root of context hierarchy
2020-11-25 16:43:51,912 INFO  RequestMappingHandlerAdapter [RequestMappingHandlerAdapter.java:518] Looking for @ControllerAdvice: org.springframework.context.support.GenericApplicationContext@f5b42fef: startup date [Wed Nov 25 16:43:48 MSK 2020]; root of context hierarchy
2020-11-25 16:43:51,973 DEBUG ExceptionHandlerExceptionResolver [ExceptionHandlerExceptionResolver.java:257] Looking for exception mappings: org.springframework.context.support.GenericApplicationContext@f5b42fef: startup date [Wed Nov 25 16:43:48 MSK 2020]; root of context hierarchy
2020-11-25 16:43:52,013 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/meals],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.gmail.ponomarenko.web.meal.UserMealController.userMealList(org.springframework.ui.Model)
2020-11-25 16:43:52,015 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/admin/users],methods=[GET],params=[],headers=[],consumes=[],produces=[application/json],custom=[]}" onto public java.util.List<com.gmail.ponomarenko.model.User> com.gmail.ponomarenko.web.user.AdminRestController.getAll()
2020-11-25 16:43:52,015 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/admin/users/{id}],methods=[GET],params=[],headers=[],consumes=[],produces=[application/json],custom=[]}" onto public com.gmail.ponomarenko.model.User com.gmail.ponomarenko.web.user.AdminRestController.get(int)
2020-11-25 16:43:52,016 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/admin/users],methods=[POST],params=[],headers=[],consumes=[application/json],produces=[application/json],custom=[]}" onto public org.springframework.http.ResponseEntity<com.gmail.ponomarenko.model.User> com.gmail.ponomarenko.web.user.AdminRestController.create(com.gmail.ponomarenko.model.User)
2020-11-25 16:43:52,016 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/admin/users/{id}],methods=[DELETE],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.gmail.ponomarenko.web.user.AdminRestController.delete(int)
2020-11-25 16:43:52,017 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/admin/users/{id}],methods=[PUT],params=[],headers=[],consumes=[application/json],produces=[],custom=[]}" onto public void com.gmail.ponomarenko.web.user.AdminRestController.update(com.gmail.ponomarenko.model.User,int)
